time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-22T00:28:10.410Z,33.9976667,-116.8083333,9.83,3.19,ml,130,23,0.03739,0.16,ci,ci39797144,2021-02-24T01:48:36.211Z,"9km NNW of Cabazon, CA",earthquake,0.09,0.21,0.167,202,reviewed,ci,ci
2021-02-21T23:56:29.120Z,18.9926,-64.4448,33,3.55,md,15,339,1.6415,0.45,pr,pr2021052011,2021-02-22T01:24:48.040Z,"81 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,4.21,29.12,0.06,11,reviewed,pr,pr
2021-02-21T22:14:27.770Z,18.397,-68.7991,132,3.67,md,17,100,0.4337,0.05,pr,pr2021052009,2021-02-23T05:42:17.040Z,"13 km WSW of San Rafael del Yuma, Dominican Republic",earthquake,0.93,0.48,0.09,12,reviewed,pr,pr
2021-02-21T21:22:20.650Z,38.2431,-118.4961,11.81,2.9,ml,,45,0.01,0.42,us,us6000djy8,2021-02-23T03:57:25.505Z,"33 km SSE of Hawthorne, Nevada",earthquake,1.4,2.3,0.034,116,reviewed,us,us
2021-02-21T21:10:44.533Z,-4.3669,102.1495,50.47,4.9,mb,,97,0.804,0.63,us,us6000djy5,2021-02-23T03:12:05.040Z,"63 km SSW of Bengkulu, Indonesia",earthquake,6.6,5.6,0.071,63,reviewed,us,us
2021-02-21T16:35:29.260Z,17.9725,-66.9855,7,2.63,md,23,180,0.0588,0.12,pr,pr2021052008,2021-02-21T17:59:52.315Z,"6 km E of La Parguera, Puerto Rico",earthquake,0.36,0.19,0.47,18,reviewed,pr,pr
2021-02-21T15:51:43.227Z,31.0494,-103.3324,5,2.8,ml,,53,0.129,0.62,us,us6000djx1,2021-02-21T16:33:01.040Z,"33 km SW of Coyanosa, Texas",earthquake,1.9,1.9,0.048,58,reviewed,us,us
2021-02-21T15:02:09.430Z,38.5658,-118.379,6.46,2.9,ml,,49,0.148,0.88,us,us6000djwt,2021-02-21T16:25:29.040Z,"21 km ENE of Hawthorne, Nevada",earthquake,1.7,5.8,0.036,103,reviewed,us,us
2021-02-21T14:50:00.733Z,43.4887,-128.369,10,3.5,ml,,236,2.527,0.64,us,us6000djwr,2021-02-21T18:02:24.969Z,"off the coast of Oregon",earthquake,10.9,2,0.05,53,reviewed,us,us
2021-02-21T14:08:40.109Z,34.4273,-106.9522,5,2.8,ml,,119,0.261,0.26,us,us6000djwe,2021-02-22T03:15:17.717Z,"13 km NW of La Joya, New Mexico",earthquake,2.4,2,0.052,48,reviewed,us,us
2021-02-21T13:44:40.590Z,35.9698333,-117.3206667,3.05,2.54,ml,37,68,0.08435,0.16,ci,ci39796672,2021-02-23T05:36:10.620Z,"24km NNE of Trona, CA",earthquake,0.17,0.65,0.095,104,reviewed,ci,ci
2021-02-21T11:56:47.309Z,-35.701,-72.9257,24.21,4,mb,,168,1.066,0.83,us,us6000djvs,2021-02-22T00:38:41.547Z,"61 km SW of Constitución, Chile",earthquake,8.6,10.5,0.211,6,reviewed,us,us
2021-02-21T10:29:05.720Z,43.6393,-128.0824,10,3.4,ml,,269,2.927,0.74,us,us6000djvd,2021-02-21T18:05:40.509Z,"off the coast of Oregon",earthquake,12.6,2,0.046,63,reviewed,us,us
2021-02-21T09:00:39.130Z,18.2573,-67.9996,97,3.43,md,20,159,0.46,0.6,pr,pr2021052004,2021-02-21T09:42:34.299Z,"55 km SE of Punta Cana, Dominican Republic",earthquake,3.31,2.44,0.13,17,reviewed,pr,pr
2021-02-21T08:46:45.780Z,18.4883,-64.1336,89,3.55,md,17,202,1.1459,0.55,pr,pr2021052005,2021-02-21T10:59:23.357Z,"71 km ENE of Cruz Bay, U.S. Virgin Islands",earthquake,4.98,5.14,0.12,10,reviewed,pr,pr
